Player,Age,Team,Position,Games,Games Started,Minutes Played,Field Goals,Field Goals Attempts,FG%,3-Point FG,3-Point FG Attempts,3P%,2-Point FG,2-Point FG Attempts,2P%,Effective FG%,Free Throws,Free Throws Attempts,Free Throw%,Offensive Rebounds,Defensive Rebounds,TRB,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Cameron Payne,30.0,NYK,PG,21.0,0.0,17.1,2.8,6.6,0.428,1.7,4.0,0.417,1.1,2.6,0.444,0.554,0.4,0.5,0.818,0.3,1.5,1.8,3.2,0.6,0.4,0.5,2.0,7.7
Brandon Clarke,28.0,MEM,PF,27.0,17.0,18.7,3.5,5.7,0.613,0.0,0.6,0.063,3.5,5.1,0.676,0.616,0.5,0.8,0.591,1.7,3.5,5.2,1.0,0.8,0.4,0.5,2.0,7.6
Noah Clowney,20.0,BRK,PF,18.0,1.0,17.8,2.5,6.6,0.381,1.6,4.5,0.358,0.9,2.1,0.432,0.504,1.0,1.3,0.75,0.9,2.6,3.4,0.7,0.3,0.7,0.8,2.9,7.6
Josh Green,24.0,CHO,SG,25.0,24.0,27.7,2.8,6.5,0.423,1.5,3.5,0.42,1.3,3.0,0.427,0.537,0.6,1.0,0.6,1.0,1.6,2.6,1.6,0.9,0.4,0.9,3.0,7.6
Luke Kennard,28.0,MEM,SG,16.0,0.0,19.9,2.4,5.6,0.438,1.8,3.9,0.46,0.6,1.6,0.385,0.601,0.9,1.1,0.778,0.4,2.0,2.4,2.8,0.7,0.1,0.7,0.8,7.6
Wendell Carter Jr.,25.0,ORL,C,16.0,16.0,26.2,2.4,5.1,0.476,0.3,2.1,0.152,2.1,3.1,0.694,0.506,2.2,2.9,0.745,1.9,6.0,7.9,2.4,0.9,0.6,0.8,2.8,7.4
Talen Horton-Tucker,24.0,CHI,SG,22.0,0.0,12.0,2.7,5.1,0.527,1.0,2.2,0.429,1.7,2.9,0.603,0.621,1.0,1.6,0.657,0.5,1.5,2.0,1.5,0.3,0.2,0.5,1.0,7.4
Moses Moody,22.0,GSW,SG,23.0,4.0,15.6,2.5,6.0,0.42,1.3,3.6,0.366,1.2,2.4,0.5,0.529,1.1,1.5,0.714,0.4,1.4,1.9,0.9,0.3,0.3,0.8,1.1,7.4
Kyshawn George,21.0,WAS,SG,20.0,6.0,25.7,2.6,7.7,0.333,1.2,5.0,0.24,1.4,2.7,0.509,0.412,1.0,1.4,0.714,0.7,3.4,4.1,2.6,0.7,0.7,1.1,3.1,7.3
Trayce Jackson-Davis,24.0,GSW,C,25.0,18.0,16.9,3.2,5.3,0.606,0.0,0.0,0.0,3.2,5.2,0.611,0.606,0.9,1.5,0.605,1.7,3.2,4.8,2.0,0.3,0.7,0.8,1.2,7.3
Sam Merrill,28.0,CLE,SG,23.0,1.0,20.2,2.3,6.3,0.375,1.8,5.5,0.333,0.5,0.8,0.667,0.521,0.7,0.7,0.938,0.3,1.5,1.9,1.8,0.6,0.2,0.4,2.0,7.2
Isaiah Wong,24.0,CHO,SG,5.0,0.0,15.6,2.4,5.6,0.429,0.6,1.6,0.375,1.8,4.0,0.45,0.482,1.8,2.8,0.643,1.4,1.8,3.2,2.0,0.6,0.0,1.2,1.6,7.2
Haywood Highsmith,28.0,MIA,SF,22.0,16.0,24.8,2.6,5.5,0.475,1.3,3.1,0.426,1.3,2.4,0.538,0.596,0.6,0.9,0.684,0.8,2.2,3.0,1.1,1.1,0.8,0.7,2.0,7.1
Ja'Kobe Walter,20.0,TOR,SG,14.0,5.0,19.6,2.8,7.7,0.361,0.8,3.5,0.224,2.0,4.2,0.475,0.412,0.7,1.1,0.667,1.0,2.2,3.2,1.6,0.6,0.2,0.9,2.0,7.1
Isaiah Jackson,23.0,IND,C,5.0,1.0,16.8,2.8,4.6,0.609,0.0,0.0,0.333,2.8,4.6,0.609,0.609,1.4,2.8,0.5,2.2,3.4,5.6,1.0,0.6,1.6,1.0,2.8,7.0
Khris Middleton,33.0,MIL,SF,4.0,0.0,21.3,1.8,6.8,0.259,0.8,3.0,0.25,1.0,3.8,0.267,0.315,2.8,3.0,0.917,0.0,3.0,3.0,5.8,1.5,0.5,1.5,3.0,7.0
Vasilije Micić,31.0,CHO,PG,16.0,7.0,21.3,2.6,7.7,0.341,1.1,3.2,0.353,1.5,4.5,0.333,0.415,0.6,0.8,0.75,0.9,2.0,2.9,3.8,0.6,0.0,2.1,1.3,6.9
Kyle Filipowski,21.0,UTA,C,17.0,8.0,18.0,2.5,4.9,0.518,0.6,1.9,0.303,1.9,2.9,0.66,0.578,1.2,2.0,0.588,0.9,3.5,4.4,1.8,0.5,0.1,0.9,1.8,6.8
Tyrese Martin,25.0,BRK,SG,11.0,2.0,15.0,2.4,5.0,0.473,1.7,3.7,0.463,0.6,1.3,0.5,0.645,0.4,0.5,0.8,0.8,1.6,2.5,1.1,0.5,0.2,0.6,1.2,6.8
Kelly Olynyk,33.0,TOR,C,5.0,0.0,14.4,2.0,5.6,0.357,0.6,1.8,0.333,1.4,3.8,0.368,0.411,2.2,2.8,0.786,1.0,3.2,4.2,2.0,1.4,0.2,1.4,2.4,6.8
Jeremiah Robinson-Earl,24.0,NOP,PF,26.0,4.0,19.6,2.6,5.9,0.438,0.8,2.5,0.323,1.8,3.4,0.523,0.507,0.9,1.0,0.885,2.0,2.8,4.9,1.2,0.7,0.1,0.8,1.3,6.8
Cason Wallace,21.0,OKC,SG,26.0,15.0,26.5,2.8,6.7,0.422,1.0,3.3,0.302,1.8,3.3,0.54,0.497,0.2,0.3,0.857,1.3,2.3,3.6,2.1,1.7,0.7,0.6,2.0,6.8
Kris Dunn,30.0,LAC,PG,28.0,17.0,22.7,2.8,6.2,0.443,1.0,3.1,0.326,1.8,3.1,0.557,0.523,0.2,0.4,0.5,0.7,2.8,3.5,2.7,1.7,0.3,1.0,2.6,6.7
Johnny Juzang,23.0,UTA,SG,22.0,0.0,17.1,2.3,5.8,0.402,1.6,4.2,0.38,0.7,1.6,0.457,0.539,0.5,0.6,0.846,0.5,1.7,2.2,1.0,0.3,0.2,0.5,2.0,6.7
KJ Martin,24.0,PHI,PF,21.0,4.0,19.2,2.6,4.0,0.647,0.3,0.8,0.412,2.3,3.2,0.706,0.688,1.1,1.4,0.828,0.9,1.8,2.7,0.8,0.4,0.7,0.4,2.5,6.7
Davion Mitchell,26.0,TOR,PG,27.0,13.0,26.8,2.5,6.3,0.398,0.9,3.0,0.293,1.6,3.3,0.494,0.468,0.8,1.1,0.677,0.5,1.7,2.3,5.0,0.8,0.3,2.0,2.9,6.7
Josh Okogie,26.0,PHO,SG,15.0,1.0,13.5,2.5,4.8,0.514,0.7,1.6,0.417,1.8,3.2,0.563,0.583,1.1,1.5,0.696,1.3,1.7,2.9,0.5,0.9,0.3,0.7,1.0,6.7
Elfrid Payton,30.0,NOP,PG,7.0,3.0,20.6,3.3,6.6,0.5,0.0,0.1,0.0,3.3,6.4,0.511,0.5,0.1,0.3,0.5,0.7,2.7,3.4,6.9,1.4,0.4,2.9,1.4,6.7
Quenton Jackson,26.0,IND,PG,15.0,7.0,16.1,2.6,5.0,0.52,0.6,1.6,0.375,2.0,3.4,0.588,0.58,0.8,1.1,0.706,0.7,1.1,1.8,1.9,0.6,0.3,0.7,1.9,6.6
Jordan Miller,25.0,LAC,SF,17.0,0.0,15.6,2.6,5.9,0.44,0.4,1.6,0.25,2.2,4.2,0.514,0.475,1.0,1.3,0.773,1.0,1.1,2.1,1.2,0.4,0.2,0.9,1.1,6.6
Isaac Okoro,24.0,CLE,SG,23.0,16.0,21.0,2.3,4.7,0.495,1.3,2.7,0.492,1.0,2.0,0.5,0.636,0.7,0.9,0.714,0.9,1.3,2.3,1.7,0.7,0.4,0.4,2.0,6.6
Keon Ellis,25.0,SAC,SG,26.0,4.0,21.0,2.1,4.5,0.466,1.3,3.2,0.41,0.8,1.3,0.606,0.612,1.0,1.2,0.844,0.8,1.5,2.3,1.1,1.2,0.9,0.8,1.9,6.5
Jaden Hardy,22.0,DAL,SG,22.0,2.0,14.5,2.4,6.0,0.391,0.8,2.7,0.305,1.5,3.4,0.459,0.459,1.0,1.1,0.88,0.2,1.2,1.4,1.2,0.6,0.0,1.4,1.4,6.5
Simone Fontecchio,29.0,DET,SF,26.0,0.0,18.3,2.0,5.1,0.398,1.2,3.4,0.341,0.9,1.7,0.511,0.511,1.2,1.5,0.816,0.5,2.3,2.9,0.9,0.3,0.2,0.8,1.3,6.4
Jaxson Hayes,24.0,LAL,C,11.0,1.0,17.5,2.4,3.3,0.722,0.0,0.0,0.333,2.4,3.3,0.722,0.722,1.6,2.1,0.783,1.9,2.6,4.5,0.8,0.4,0.8,0.7,2.5,6.4
Kevin Love,36.0,MIA,PF,14.0,4.0,11.8,2.2,6.0,0.369,1.3,3.5,0.367,0.9,2.5,0.371,0.476,0.7,1.1,0.667,1.0,3.7,4.7,1.3,0.9,0.1,0.8,0.9,6.4
Shake Milton,28.0,BRK,SG,23.0,0.0,17.0,2.4,5.2,0.458,0.9,2.3,0.37,1.5,2.9,0.53,0.542,0.8,1.0,0.75,0.6,1.2,1.8,2.0,0.4,0.0,0.7,1.3,6.4
Marcus Sasser,24.0,DET,PG,19.0,0.0,13.7,2.6,4.8,0.533,0.9,2.2,0.405,1.7,2.6,0.64,0.625,0.3,0.3,1.0,0.4,0.6,1.0,1.8,0.8,0.2,0.8,1.1,6.4
Ron Holland,19.0,DET,SF,28.0,1.0,16.2,2.5,5.3,0.466,0.4,2.0,0.211,2.0,3.3,0.626,0.507,1.0,1.2,0.794,0.6,2.5,3.1,0.7,0.5,0.2,1.0,1.6,6.3
Terance Mann,28.0,LAC,SG,23.0,11.0,21.0,2.4,5.6,0.438,0.7,2.0,0.34,1.7,3.5,0.494,0.5,0.7,1.0,0.667,1.0,2.0,3.1,1.7,1.0,0.2,0.6,2.0,6.3
Max Christie,21.0,LAL,SG,26.0,5.0,20.6,1.9,4.5,0.415,0.7,2.2,0.321,1.2,2.4,0.5,0.492,1.8,2.1,0.852,0.8,1.5,2.3,1.2,0.8,0.4,0.8,1.5,6.2
Javonte Green,31.0,NOP,SG,26.0,12.0,22.7,2.2,5.0,0.431,0.7,2.2,0.304,1.5,2.8,0.527,0.496,1.2,1.7,0.744,1.0,2.3,3.3,0.8,1.0,0.7,0.6,1.3,6.2
Jonathan Isaac,27.0,ORL,PF,23.0,0.0,16.8,2.3,5.1,0.441,0.8,2.7,0.295,1.5,2.5,0.596,0.517,0.9,1.3,0.69,1.7,2.9,4.6,0.2,0.9,1.4,0.4,1.4,6.2
Malaki Branham,21.0,SAS,SG,20.0,0.0,12.6,2.2,5.0,0.44,0.9,2.2,0.395,1.4,2.9,0.474,0.525,0.9,1.0,0.85,0.2,1.4,1.5,1.3,0.4,0.1,1.3,0.7,6.1
Ryan Dunn,22.0,PHO,SF,22.0,9.0,17.2,2.4,5.5,0.426,1.1,3.5,0.312,1.3,2.0,0.622,0.525,0.2,0.5,0.417,0.6,1.9,2.5,0.7,0.5,0.5,0.5,2.3,6.0
Pelle Larsson,23.0,MIA,SG,15.0,0.0,16.3,2.3,4.2,0.54,0.7,1.9,0.379,1.5,2.3,0.676,0.627,0.7,1.3,0.55,0.7,1.3,2.0,1.5,0.6,0.0,0.5,2.1,6.0
Dariq Whitehead,20.0,BRK,SF,3.0,0.0,8.7,2.0,3.7,0.545,2.0,3.3,0.6,0.0,0.3,0.0,0.818,0.0,0.0,0.7765,0.0,1.0,1.0,0.3,0.7,0.3,1.0,0.3,6.0
Isaiah Stewart,23.0,DET,C,27.0,3.0,21.4,2.4,4.3,0.552,0.2,0.8,0.238,2.2,3.5,0.621,0.573,1.1,1.2,0.879,2.2,3.7,6.0,1.7,0.5,1.3,1.1,2.7,6.0
James Wiseman,23.0,IND,C,1.0,0.0,5.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0
Jamison Battle,23.0,TOR,SF,25.0,0.0,13.8,2.1,4.3,0.481,1.4,3.2,0.432,0.7,1.1,0.63,0.644,0.4,0.4,0.818,0.6,1.4,1.9,0.9,0.1,0.2,0.3,1.2,5.9
Donovan Clingan,20.0,POR,C,20.0,7.0,16.8,2.5,4.7,0.527,0.2,0.7,0.308,2.3,4.0,0.563,0.548,0.8,1.1,0.727,3.0,3.6,6.6,0.5,0.5,2.0,1.2,3.0,5.9
Lindy Waters III,27.0,GSW,SG,22.0,8.0,17.9,2.1,5.6,0.382,1.4,4.0,0.356,0.7,1.6,0.444,0.508,0.2,0.2,0.8,0.5,2.1,2.6,1.4,0.7,0.2,0.4,1.6,5.9
Kenrich Williams,30.0,OKC,PF,16.0,0.0,13.0,2.3,3.9,0.571,0.9,2.1,0.412,1.4,1.8,0.759,0.683,0.5,0.5,1.0,0.8,2.1,2.8,0.9,0.6,0.3,0.2,1.8,5.9
Jared Butler,24.0,WAS,SG,19.0,0.0,11.2,2.3,5.0,0.463,0.4,1.3,0.28,1.9,3.7,0.529,0.5,0.8,1.2,0.727,0.3,0.7,1.0,2.6,0.4,0.1,0.8,1.3,5.8
Alex Caruso,30.0,OKC,SG,18.0,0.0,19.9,2.2,5.8,0.385,0.9,3.4,0.279,1.3,2.4,0.535,0.466,0.4,0.5,0.778,0.6,2.4,2.9,2.2,1.9,0.6,0.7,2.2,5.8
Zach Collins,27.0,SAS,C,24.0,4.0,14.2,2.1,4.4,0.476,0.5,1.5,0.333,1.6,2.9,0.551,0.533,1.2,1.3,0.875,1.2,2.2,3.3,1.8,0.5,0.5,0.9,2.2,5.8
JT Thor,22.0,CLE,PF,4.0,0.0,5.3,1.8,2.0,0.875,0.8,0.8,1.0,1.0,1.3,0.8,1.063,1.5,1.5,1.0,0.3,0.5,0.8,0.0,0.5,0.8,0.5,1.0,5.8
Precious Achiuwa,25.0,NYK,PF,6.0,1.0,20.0,2.3,4.7,0.5,0.2,0.7,0.25,2.2,4.0,0.542,0.518,0.8,1.7,0.5,1.7,5.0,6.7,1.3,0.8,0.8,0.8,1.3,5.7
Keon Johnson,22.0,BRK,SG,25.0,6.0,17.1,2.1,6.1,0.342,1.2,3.8,0.305,0.9,2.3,0.404,0.438,0.4,0.5,0.75,0.5,2.3,2.8,1.1,0.5,0.3,1.0,2.3,5.7
Cam Whitmore,20.0,HOU,SF,9.0,0.0,9.1,2.2,5.6,0.4,0.1,2.3,0.048,2.1,3.2,0.655,0.41,1.1,1.8,0.625,0.4,0.9,1.3,0.4,0.1,0.1,0.3,1.0,5.7
Jonathan Mogbo,23.0,TOR,PF,28.0,4.0,17.8,2.1,4.6,0.465,0.3,0.8,0.318,1.9,3.8,0.495,0.492,1.1,1.5,0.698,2.0,2.6,4.6,1.8,0.9,0.4,0.9,1.9,5.6
Ben Simmons,28.0,BRK,PG,21.0,15.0,24.3,2.6,4.4,0.591,0.0,0.0,0.333,2.6,4.4,0.591,0.591,0.4,0.6,0.615,0.9,4.6,5.5,6.6,0.8,0.6,2.7,2.5,5.6
Lonzo Ball,27.0,CHI,PG,11.0,0.0,17.7,1.7,5.4,0.322,1.4,4.5,0.3,0.4,0.8,0.444,0.449,0.6,0.6,1.0,0.4,2.8,3.2,3.7,1.0,0.6,1.0,1.3,5.5
Ajay Mitchell,22.0,OKC,SG,26.0,0.0,15.5,2.2,4.5,0.479,0.5,1.2,0.438,1.6,3.3,0.494,0.538,0.6,0.7,0.842,0.4,1.1,1.5,1.7,0.8,0.1,0.8,1.7,5.5
Ben Sheppard,23.0,IND,SG,14.0,5.0,20.6,2.1,5.0,0.414,1.4,3.6,0.38,0.7,1.4,0.5,0.55,0.0,0.0,0.7765,0.4,1.8,2.2,1.2,0.4,0.4,0.4,2.6,5.5
Dru Smith,27.0,MIA,SG,11.0,0.0,18.6,2.0,4.2,0.478,1.0,2.0,0.5,1.0,2.2,0.458,0.598,0.5,0.7,0.75,0.9,1.9,2.8,1.6,1.4,0.5,1.0,1.9,5.5
Jarace Walker,21.0,IND,PF,28.0,1.0,17.8,1.9,4.5,0.425,1.0,2.5,0.38,1.0,2.0,0.482,0.531,0.7,1.1,0.613,0.4,3.1,3.5,1.5,1.1,0.3,1.4,1.6,5.5
Trey Lyles,29.0,SAC,PF,18.0,2.0,19.6,1.8,5.1,0.363,1.2,3.7,0.333,0.6,1.4,0.44,0.484,0.6,0.8,0.714,0.8,3.1,3.9,0.9,0.6,0.6,0.6,1.4,5.4
Neemias Queta,25.0,BOS,C,23.0,5.0,16.8,2.3,3.7,0.631,0.0,0.1,0.0,2.3,3.6,0.646,0.631,0.8,1.0,0.75,1.7,3.0,4.7,0.7,0.3,1.0,0.7,2.0,5.4
Paul Reed,25.0,DET,C,14.0,0.0,11.1,2.1,3.7,0.558,0.3,0.8,0.364,1.8,2.9,0.61,0.596,1.0,1.2,0.824,0.9,1.6,2.4,0.6,0.9,0.6,0.8,1.6,5.4
David Roddy,23.0,ATL,PF,14.0,1.0,14.6,1.9,3.4,0.563,0.7,1.7,0.417,1.2,1.7,0.708,0.667,0.8,0.9,0.846,0.3,2.6,2.9,1.4,0.4,0.2,0.9,0.8,5.4
Kobe Bufkin,21.0,ATL,SG,10.0,0.0,12.4,1.8,4.7,0.383,0.4,1.9,0.211,1.4,2.8,0.5,0.426,1.3,1.8,0.722,0.5,1.6,2.1,1.7,0.3,0.2,0.8,0.9,5.3
Alec Burks,33.0,MIA,SG,12.0,0.0,15.1,1.8,3.8,0.457,1.3,2.7,0.469,0.5,1.2,0.429,0.62,0.5,0.7,0.75,0.3,1.6,1.9,1.3,0.5,0.3,0.2,0.4,5.3
Cam Spencer,24.0,MEM,SG,4.0,0.0,13.5,1.8,3.3,0.538,0.8,1.5,0.5,1.0,1.8,0.571,0.654,1.0,1.0,1.0,0.3,1.5,1.8,1.8,0.3,0.3,0.8,1.3,5.3
Vince Williams Jr.,24.0,MEM,SG,3.0,0.0,15.0,2.3,6.3,0.368,0.3,2.7,0.125,2.0,3.7,0.545,0.395,0.3,1.3,0.25,1.3,2.3,3.7,3.0,0.0,0.7,2.3,3.0,5.3
Matas Buzelis,20.0,CHI,SF,27.0,0.0,12.8,1.8,4.8,0.372,0.9,2.5,0.343,0.9,2.3,0.403,0.461,0.8,1.0,0.808,0.5,2.2,2.7,0.5,0.3,0.7,0.6,1.4,5.2
Torrey Craig,34.0,CHI,SF,6.0,1.0,11.2,1.8,3.7,0.5,1.2,3.0,0.389,0.7,0.7,1.0,0.659,0.3,0.3,1.0,0.5,1.7,2.2,0.5,0.2,0.2,0.0,1.7,5.2
Kevon Looney,28.0,GSW,C,24.0,5.0,16.4,2.3,4.3,0.519,0.0,0.0,0.333,2.3,4.3,0.519,0.519,0.7,1.6,0.436,3.4,4.1,7.5,1.8,0.8,0.3,0.6,2.4,5.2
Dean Wade,28.0,CLE,PF,19.0,10.0,22.0,1.7,5.1,0.344,1.3,4.3,0.305,0.4,0.7,0.571,0.474,0.4,1.1,0.4,0.9,3.9,4.8,1.3,1.0,0.4,0.3,1.5,5.2
Kyle Anderson,31.0,GSW,PF,24.0,0.0,14.4,2.0,4.8,0.417,0.5,1.6,0.333,1.5,3.2,0.461,0.474,0.5,0.8,0.65,0.5,2.5,2.9,2.3,0.8,0.5,0.5,1.1,5.1
Cole Anthony,24.0,ORL,PG,26.0,0.0,11.0,1.8,4.7,0.38,0.7,2.1,0.315,1.1,2.6,0.433,0.45,0.9,1.2,0.719,0.3,1.7,2.0,2.0,0.4,0.2,1.2,1.3,5.1
Eric Gordon,36.0,PHI,SG,17.0,1.0,17.1,1.6,4.8,0.341,0.8,2.8,0.277,0.9,2.1,0.429,0.421,1.0,1.3,0.773,0.2,0.8,0.9,1.3,0.6,0.3,0.8,0.8,5.1
Kyle Lowry,38.0,PHI,PG,17.0,10.0,21.6,1.5,4.0,0.368,1.1,3.1,0.346,0.4,0.9,0.438,0.5,1.1,1.4,0.783,0.4,1.6,2.0,2.8,1.1,0.4,0.8,1.9,5.1
Cam Christie,19.0,LAC,SG,1.0,0.0,18.0,2.0,7.0,0.286,1.0,4.0,0.25,1.0,3.0,0.333,0.357,0.0,0.0,0.7765,1.0,2.0,3.0,0.0,2.0,0.0,1.0,0.0,5.0
Ricky Council IV,23.0,PHI,SF,19.0,0.0,12.1,1.6,4.1,0.39,0.4,1.6,0.233,1.2,2.5,0.489,0.435,1.5,1.8,0.824,0.5,1.4,1.9,0.8,0.3,0.2,0.3,0.7,5.0
Monte Morris,29.0,PHO,PG,21.0,0.0,12.3,1.8,4.0,0.435,0.7,2.0,0.341,1.1,2.1,0.523,0.518,0.9,1.1,0.783,0.3,1.1,1.4,1.6,0.4,0.1,0.5,0.6,5.0
Svi Mykhailiuk,27.0,UTA,SF,6.0,2.0,13.5,1.7,4.5,0.37,1.2,3.7,0.318,0.5,0.8,0.6,0.5,0.5,0.7,0.75,0.2,1.5,1.7,1.3,0.8,0.2,1.7,1.3,5.0
Julian Phillips,21.0,CHI,SF,27.0,2.0,14.3,1.8,4.0,0.44,0.8,2.5,0.328,1.0,1.6,0.619,0.541,0.6,1.0,0.654,0.8,1.3,2.1,0.4,0.7,0.3,0.4,1.5,5.0
Alondes Williams,25.0,DET,SG,1.0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.25,0.0,0.0,0.7765,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0
Pat Connaughton,32.0,MIL,SG,15.0,0.0,17.0,1.7,4.7,0.371,0.9,2.9,0.295,0.9,1.7,0.5,0.464,0.6,0.8,0.75,0.5,2.5,3.0,1.7,0.2,0.3,0.7,1.3,4.9
Marvin Bagley III,25.0,WAS,C,18.0,1.0,8.4,2.0,3.8,0.529,0.1,0.6,0.2,1.9,3.2,0.586,0.544,0.7,1.1,0.632,1.4,1.3,2.8,0.3,0.3,0.3,0.6,0.7,4.8
Seth Curry,34.0,CHO,SG,25.0,5.0,12.8,1.8,3.8,0.463,0.9,2.1,0.423,0.9,1.7,0.512,0.579,0.4,0.4,0.818,0.4,1.0,1.4,0.4,0.5,0.2,0.3,1.1,4.8
Tidjane Salaün,19.0,CHO,PF,23.0,8.0,18.9,1.6,5.0,0.322,1.0,3.3,0.286,0.7,1.7,0.395,0.417,0.7,1.0,0.682,0.9,3.1,4.0,1.0,0.5,0.2,0.8,1.3,4.8
Jamal Shead,22.0,TOR,PG,26.0,0.0,14.5,1.9,4.8,0.395,0.7,2.0,0.327,1.2,2.8,0.444,0.464,0.3,0.5,0.75,0.2,0.8,1.0,2.9,0.5,0.1,1.3,1.9,4.8
Taylor Hendricks,21.0,UTA,PF,3.0,3.0,25.0,1.3,6.0,0.222,1.0,4.0,0.25,0.3,2.0,0.167,0.306,1.0,1.3,0.75,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7
Luke Kornet,29.0,BOS,C,21.0,3.0,16.5,1.7,2.7,0.643,0.0,0.0,0.333,1.7,2.7,0.643,0.643,1.3,1.6,0.794,1.9,2.6,4.5,1.5,0.5,1.0,0.4,1.2,4.7
Keaton Wallace,25.0,ATL,PG,12.0,1.0,16.2,1.8,4.6,0.4,0.7,2.2,0.308,1.2,2.4,0.483,0.473,0.3,0.3,1.0,0.2,1.3,1.5,1.8,0.8,0.5,1.0,1.1,4.7
Charles Bassey,24.0,SAS,C,18.0,0.0,10.8,2.0,3.6,0.563,0.0,0.0,0.333,2.0,3.6,0.563,0.563,0.6,1.2,0.524,1.6,2.5,4.1,0.5,0.3,1.2,0.7,1.3,4.6
Sandro Mamukelashvili,25.0,SAS,PF,19.0,0.0,9.6,1.6,2.9,0.545,0.9,2.0,0.447,0.7,0.9,0.765,0.7,0.6,0.8,0.733,0.6,2.3,2.9,0.4,0.2,0.3,0.5,0.6,4.6
Gary Payton II,32.0,GSW,SG,26.0,4.0,13.1,2.1,3.9,0.535,0.2,1.2,0.161,1.9,2.7,0.7,0.559,0.2,0.4,0.545,1.3,1.5,2.8,1.2,0.8,0.4,0.5,1.4,4.6
Mo Bamba,26.0,LAC,C,13.0,0.0,13.6,1.7,4.0,0.423,0.5,1.8,0.25,1.2,2.2,0.571,0.481,0.7,1.0,0.692,0.8,3.5,4.2,0.8,0.6,1.1,0.6,2.2,4.5
Drew Eubanks,27.0,UTA,C,21.0,0.0,13.5,1.8,3.2,0.567,0.0,0.1,0.333,1.8,3.0,0.578,0.575,0.8,1.3,0.63,1.1,2.9,4.0,1.2,0.2,0.7,0.8,1.2,4.5
Kris Murray,24.0,POR,SF,21.0,0.0,12.7,1.8,3.8,0.475,0.5,1.6,0.333,1.3,2.2,0.574,0.544,0.4,1.0,0.4,1.0,1.2,2.3,0.7,0.4,0.1,0.6,1.0,4.5
Antonio Reeves,24.0,NOP,SG,15.0,0.0,9.3,1.7,4.3,0.4,0.6,2.2,0.273,1.1,2.1,0.531,0.469,0.4,0.5,0.857,0.3,0.8,1.1,0.5,0.3,0.0,0.3,0.5,4.5
Aaron Holiday,28.0,HOU,PG,17.0,0.0,9.8,1.4,3.0,0.471,1.0,2.2,0.447,0.4,0.8,0.538,0.637,0.5,0.6,0.818,0.0,1.1,1.1,1.2,0.1,0.1,0.3,0.7,4.4
Jamal Cain,25.0,NOP,SF,16.0,0.0,14.1,1.6,3.4,0.455,0.6,1.8,0.321,1.0,1.7,0.593,0.536,0.6,1.0,0.625,0.9,1.9,2.8,0.6,0.5,0.4,0.4,1.3,4.3
Wendell Moore Jr.,23.0,DET,SG,12.0,0.0,14.3,1.6,3.0,0.528,0.3,0.8,0.333,1.3,2.3,0.593,0.569,0.9,1.0,0.917,0.8,2.3,3.1,1.2,0.7,0.3,0.7,1.1,4.3
Reggie Jackson,34.0,PHI,PG,11.0,0.0,11.3,1.5,3.7,0.415,1.1,2.5,0.444,0.5,1.3,0.357,0.561,0.0,0.0,0.7765,0.1,0.7,0.8,2.0,0.5,0.3,0.6,0.8,4.2
Dalen Terry,22.0,CHI,SG,25.0,0.0,13.5,1.5,3.0,0.5,0.4,1.1,0.37,1.1,1.9,0.574,0.568,0.9,1.1,0.786,0.6,0.8,1.4,0.9,0.6,0.3,0.8,1.4,4.2
Gabe Vincent,28.0,LAL,PG,27.0,4.0,19.1,1.6,4.4,0.364,0.9,2.7,0.315,0.7,1.7,0.444,0.462,0.1,0.3,0.5,0.4,0.9,1.3,0.9,0.9,0.2,0.6,2.0,4.2
Gary Harris,30.0,ORL,SG,17.0,2.0,16.6,1.4,3.5,0.4,1.0,2.7,0.37,0.4,0.8,0.5,0.542,0.2,0.4,0.667,0.5,0.8,1.4,0.4,0.5,0.3,0.4,0.8,4.1
Blake Wesley,21.0,SAS,SG,21.0,0.0,11.8,1.6,3.5,0.459,0.2,1.0,0.2,1.4,2.6,0.556,0.486,0.7,1.0,0.714,0.3,0.6,0.9,2.0,0.4,0.1,1.0,0.6,4.1
Thomas Bryant,27.0,2TM,C,12.0,0.0,10.9,1.3,2.8,0.455,0.6,1.5,0.389,0.7,1.3,0.533,0.561,0.9,0.9,1.0,0.7,2.5,3.2,0.4,0.1,0.8,0.2,0.8,4.0
Thomas Bryant,27.0,MIA,C,10.0,0.0,11.5,1.2,2.8,0.429,0.6,1.7,0.353,0.6,1.1,0.545,0.536,1.1,1.1,1.0,0.6,2.6,3.2,0.4,0.1,0.9,0.2,0.9,4.1
Thomas Bryant,27.0,IND,C,2.0,0.0,8.0,1.5,2.5,0.6,0.5,0.5,1.0,1.0,2.0,0.5,0.7,0.0,0.0,0.7765,1.0,2.0,3.0,0.5,0.0,0.5,0.0,0.5,3.5
