Player,Age,Team,Position,Games,Games Started,Minutes Played,Field Goals,Field Goals Attempts,FG%,3-Point FG,3-Point FG Attempts,3P%,2-Point FG,2-Point FG Attempts,2P%,Effective FG%,Free Throws,Free Throws Attempts,Free Throw%,Offensive Rebounds,Defensive Rebounds,TRB,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
Mark Williams,23.0,CHO,C,6.0,3.0,14.0,4.2,6.5,0.641,0.0,0.0,0.333,4.2,6.5,0.641,0.641,1.7,2.3,0.714,2.3,3.2,5.5,1.5,0.3,1.0,0.5,1.5,10.0
Luguentz Dort,25.0,OKC,SF,26.0,26.0,29.3,3.3,8.2,0.407,2.2,5.5,0.392,1.2,2.7,0.437,0.537,1.1,1.3,0.8,1.5,3.3,4.8,1.8,1.3,0.8,0.6,3.1,9.9
Dalano Banton,25.0,POR,PG,24.0,0.0,16.7,3.5,8.3,0.422,1.3,3.5,0.365,2.2,4.8,0.465,0.5,1.5,2.3,0.667,0.4,1.9,2.3,2.6,0.9,0.5,1.7,1.1,9.8
Tim Hardaway Jr.,32.0,DET,SG,25.0,25.0,27.8,3.2,8.0,0.405,1.9,5.4,0.346,1.4,2.6,0.531,0.523,1.4,1.7,0.857,0.2,1.9,2.1,1.6,0.4,0.0,0.7,1.4,9.8
Kevin Huerter,26.0,SAC,SG,24.0,15.0,25.6,3.7,8.6,0.432,1.8,5.8,0.317,1.9,2.8,0.672,0.539,0.5,0.8,0.684,0.4,3.1,3.5,2.0,1.0,0.5,1.1,2.3,9.8
Larry Nance Jr.,32.0,ATL,PF,11.0,2.0,17.8,3.8,6.1,0.627,1.9,3.2,0.6,1.9,2.9,0.656,0.784,0.3,0.4,0.75,1.2,2.4,3.5,1.5,0.9,0.4,0.4,1.5,9.8
Nickeil Alexander-Walker,26.0,MIN,SG,26.0,2.0,23.8,3.5,7.0,0.505,1.7,3.8,0.434,1.9,3.2,0.59,0.624,1.0,1.3,0.765,0.7,2.0,2.7,2.5,0.9,0.3,1.4,1.6,9.7
Chris Boucher,32.0,TOR,PF,25.0,0.0,18.1,3.5,7.8,0.449,1.0,3.8,0.266,2.5,4.1,0.618,0.513,1.7,2.2,0.75,1.4,3.2,4.6,0.6,0.5,0.8,0.6,1.4,9.7
Chris Paul,39.0,SAS,PG,27.0,27.0,28.4,3.3,7.6,0.434,1.8,4.9,0.364,1.5,2.7,0.562,0.551,1.3,1.3,1.0,0.6,3.6,4.1,8.4,1.5,0.2,1.9,1.9,9.7
Kevin Porter Jr.,24.0,LAC,SG,25.0,1.0,20.0,3.9,9.4,0.413,0.6,2.6,0.231,3.3,6.8,0.482,0.445,1.2,1.9,0.638,0.7,3.0,3.6,3.0,1.0,0.3,2.2,1.6,9.6
Patrick Williams,23.0,CHI,PF,18.0,17.0,27.3,3.2,8.8,0.365,1.8,4.8,0.368,1.4,4.0,0.361,0.465,1.4,1.6,0.862,1.0,3.6,4.6,2.1,0.9,0.6,1.7,1.4,9.6
Nic Claxton,25.0,BRK,C,21.0,13.0,24.6,4.2,6.8,0.622,0.0,0.2,0.25,4.2,6.6,0.633,0.626,1.0,2.0,0.465,2.0,5.5,7.4,2.1,0.7,1.2,1.1,2.4,9.5
Toumani Camara,24.0,POR,PF,27.0,27.0,30.6,3.4,8.0,0.429,1.6,4.3,0.371,1.9,3.7,0.495,0.528,0.8,1.1,0.733,2.1,3.1,5.2,2.0,1.4,0.5,1.6,2.9,9.3
Yves Missi,20.0,NOP,C,27.0,21.0,26.0,3.7,6.7,0.552,0.0,0.0,0.333,3.7,6.7,0.552,0.552,1.9,2.9,0.646,3.9,4.7,8.6,1.2,0.7,1.2,1.1,2.2,9.3
Andrew Nembhard,25.0,IND,SG,14.0,14.0,26.1,3.4,7.4,0.452,0.6,2.1,0.31,2.7,5.4,0.507,0.495,1.9,2.2,0.871,0.2,2.1,2.4,4.7,0.9,0.0,1.6,1.7,9.3
Jusuf Nurkić,30.0,PHO,C,19.0,19.0,25.0,3.2,7.1,0.452,0.7,2.6,0.28,2.5,4.5,0.553,0.504,2.2,3.2,0.683,1.9,8.1,10.0,1.3,0.9,0.7,2.4,3.0,9.3
Aaron Nesmith,25.0,IND,SF,6.0,6.0,22.7,3.2,6.0,0.528,1.0,1.8,0.545,2.2,4.2,0.52,0.611,1.8,2.2,0.846,0.7,3.3,4.0,1.0,0.7,0.3,0.8,4.0,9.2
Marcus Smart,30.0,MEM,PG,17.0,6.0,21.9,2.9,8.1,0.365,1.6,4.9,0.325,1.4,3.2,0.426,0.464,1.7,2.1,0.829,0.8,1.6,2.5,3.9,1.3,0.4,2.0,1.7,9.2
Julian Strawther,22.0,DEN,SG,25.0,0.0,20.6,3.2,6.8,0.468,1.4,3.4,0.395,1.8,3.4,0.541,0.567,1.4,1.7,0.814,0.3,1.8,2.1,1.4,0.7,0.4,0.9,2.5,9.2
Guerschon Yabusele,29.0,PHI,PF,24.0,10.0,23.8,3.3,7.0,0.476,1.4,3.8,0.374,1.9,3.2,0.597,0.577,1.1,1.8,0.614,1.7,3.7,5.3,1.8,0.6,0.4,1.3,2.6,9.2
Goga Bitadze,25.0,ORL,C,24.0,21.0,23.7,3.8,6.0,0.634,0.0,0.5,0.0,3.8,5.5,0.692,0.634,1.5,1.9,0.778,2.9,5.0,7.8,2.0,0.8,1.6,1.5,2.5,9.1
Jay Huff,26.0,MEM,C,27.0,1.0,15.2,3.2,6.2,0.515,1.6,4.0,0.411,1.6,2.2,0.7,0.647,1.1,1.5,0.756,0.6,2.1,2.8,0.8,0.3,1.2,0.6,1.7,9.1
Trentyn Flowers,19.0,LAC,SF,1.0,0.0,14.0,4.0,9.0,0.444,0.0,2.0,0.0,4.0,7.0,0.571,0.444,1.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,3.0,9.0
Peyton Watson,22.0,DEN,SF,25.0,12.0,24.3,3.3,6.6,0.494,0.8,2.2,0.37,2.5,4.5,0.554,0.554,1.7,2.2,0.764,1.0,2.3,3.3,1.2,0.8,0.9,0.8,2.1,9.0
Jalen Wilson,24.0,BRK,PF,26.0,6.0,25.4,3.0,7.4,0.404,1.4,4.2,0.336,1.6,3.2,0.494,0.5,1.6,1.9,0.84,1.0,2.3,3.3,1.8,0.5,0.0,0.9,2.3,9.0
Draymond Green,34.0,GSW,PF,24.0,22.0,28.2,3.0,7.0,0.431,1.5,3.7,0.393,1.5,3.3,0.474,0.536,1.4,2.2,0.642,0.9,5.0,6.0,5.6,1.0,0.9,2.5,3.3,8.9
Al Horford,38.0,BOS,C,20.0,18.0,27.7,3.3,7.1,0.461,2.1,5.2,0.398,1.2,1.9,0.632,0.606,0.3,0.3,1.0,1.0,4.4,5.3,2.3,0.7,1.0,1.0,1.7,8.9
Dereck Lively II,20.0,DAL,C,22.0,15.0,24.0,3.6,5.2,0.702,0.0,0.0,0.333,3.6,5.2,0.702,0.702,1.6,2.7,0.61,3.0,4.7,7.7,2.4,0.5,1.6,1.3,2.9,8.9
Gary Trent Jr.,26.0,MIL,SG,23.0,7.0,25.8,3.0,7.4,0.404,2.0,5.0,0.388,1.0,2.4,0.436,0.535,1.0,1.1,0.88,0.1,1.8,2.0,1.0,0.9,0.0,0.5,2.3,8.9
Aaron Wiggins,26.0,OKC,SG,26.0,8.0,20.3,3.5,7.7,0.45,1.4,3.5,0.402,2.0,4.2,0.491,0.543,0.6,0.7,0.789,0.9,2.4,3.3,1.5,0.9,0.3,0.8,1.3,8.9
Jalen Duren,21.0,DET,C,25.0,25.0,24.3,3.6,5.3,0.684,0.0,0.0,0.333,3.6,5.3,0.684,0.684,1.6,2.7,0.582,3.1,6.0,9.1,2.3,0.5,1.2,2.0,3.2,8.8
Quentin Grimes,24.0,DAL,SG,25.0,9.0,20.6,3.0,6.4,0.469,1.5,3.7,0.409,1.5,2.7,0.552,0.588,1.3,1.8,0.711,0.6,3.0,3.6,1.5,0.8,0.2,1.2,1.8,8.8
Jaime Jaquez Jr.,23.0,MIA,SF,20.0,1.0,21.1,3.3,7.9,0.42,0.5,2.0,0.25,2.8,5.9,0.479,0.452,1.7,2.4,0.723,1.4,3.5,4.8,2.3,1.0,0.1,1.5,1.6,8.8
Isaiah Joe,25.0,OKC,SG,24.0,9.0,21.2,3.1,7.5,0.413,2.2,5.8,0.379,0.9,1.6,0.538,0.561,0.4,0.5,0.769,0.5,2.2,2.7,1.6,0.7,0.3,0.5,1.7,8.8
Georges Niang,31.0,CLE,PF,27.0,1.0,20.8,3.4,7.1,0.476,1.7,4.6,0.363,1.7,2.5,0.687,0.594,0.4,0.5,0.786,0.8,3.3,4.1,1.3,0.3,0.2,1.0,2.3,8.8
Anthony Black,21.0,ORL,PG,29.0,1.0,24.3,3.1,7.3,0.422,0.7,2.5,0.264,2.4,4.8,0.504,0.467,1.9,2.6,0.72,0.5,2.2,2.7,3.8,1.0,0.8,2.2,2.1,8.7
Carlton Carrington,19.0,WAS,PG,25.0,17.0,29.3,3.2,8.4,0.384,1.4,4.5,0.321,1.8,4.0,0.455,0.469,0.8,1.0,0.8,0.4,4.2,4.6,4.0,0.9,0.3,2.0,3.1,8.7
Caleb Martin,29.0,PHI,SF,20.0,15.0,29.1,3.0,7.4,0.405,0.8,2.6,0.294,2.3,4.9,0.464,0.456,2.0,2.9,0.672,1.4,3.3,4.6,2.3,1.0,0.5,1.8,1.7,8.7
Cody Martin,29.0,CHO,SF,27.0,5.0,26.3,3.3,7.4,0.445,1.2,3.7,0.327,2.1,3.7,0.566,0.528,0.9,1.3,0.686,1.1,3.6,4.7,2.2,1.1,0.7,1.1,2.0,8.7
